"id","latitude","longitude","phylum","order","family","genus","name","eventDate"
6160283,43.197416305542,-69.5481567382812,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 10:42:36"
4358457,43.0474147796631,-69.4564971923828,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 06:09:00"
2139620,43.0850009918213,-69.9654197692871,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 06:56:24"
9925885,43.280590057373,-69.5840835571289,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 04:27:00"
2563314,43.048110961914,-69.4539222717285,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-29 05:24:00"
2220591,43.0474147796631,-69.4564971923828,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 06:21:00"
11298109,43.1452503204346,-69.5197448730469,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 11:14:24"
6302056,43.1996192932128,-69.5437355041504,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-29 04:18:36"
9442507,43.1223297119141,-69.7969970703125,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:46:12"
256354,43.1494159698486,-69.5118713378906,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-11 12:13:12"
4944979,43.2412509918212,-69.5870819091797,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 10:00:36"
1594635,43.0474147796631,-69.4564971923828,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 06:10:12"
6139993,43.146499633789,-69.5209999084472,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 05:34:48"
540460,43.2996654510498,-69.6114196777343,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-20 03:59:24"
806973,43.0912742614746,-69.4772644042968,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 11:58:12"
5573988,43.2412509918212,-69.5870819091797,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 09:57:36"
9401964,43.0912742614746,-69.4772644042968,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-21 12:07:12"
4884250,43.3366661071777,-69.612247467041,"Chordata","Tetraodontiformes","Molidae","Mola","Mola mola","2005-07-15 04:09:00"
